nomLencrier;  id     ; dateLencrier              ; titre     ; length 
"cendre" ; "e120157" ; "13 novembre 2012 à 18h18" ; "Nouveau départ" ; "6415"
"cendre" ; "e120279" ; "17 novembre 2012 à 19h27" ; "Confrontation" ; "4050"
"cendre" ; "e121033" ; "25 novembre 2012 à 19h30" ; "Joyeux Dimanche" ; "855"
"cendre" ; "e121149" ; "28 novembre 2012 à 23h04" ; "Ainsi c'est fait" ; "3774"
"cendre" ; "e121260" ; "30 novembre 2012 à 13h18" ; "Le bonheur du plaisir partagé" ; "1116"
"cendre" ; "e121351" ; "1 décembre 2012 à 19h32" ; "Mélancolie" ; "2360"
"cendre" ; "e121404" ; "2 décembre 2012 à 19h42" ; "Cendres" ; "4140"
"cendre" ; "e121525" ; "4 décembre 2012 à 20h36" ; "Une semaine pour se revoir" ; "4664"
"cendre" ; "e121571" ; "6 décembre 2012 à 1h28" ; "Chonchon" ; "2138"
"cendre" ; "e121660" ; "7 décembre 2012 à 14h50" ; "Culpabilité" ; "6015"
"cendre" ; "e121687" ; "8 décembre 2012 à 1h56" ; "Distance" ; "2027"
"cendre" ; "e121877" ; "11 décembre 2012 à 13h04" ; "Carpe Diem" ; "898"
"cendre" ; "e121983" ; "13 décembre 2012 à 1h22" ; "Petits plaisirs" ; "1865"
"cendre" ; "e122006" ; "13 décembre 2012 à 18h05" ; "Peur de l'éphémère" ; "3090"
"cendre" ; "e122229" ; "17 décembre 2012 à 23h37" ; "J'ai peut être trouvé la faille" ; "3907"
"cendre" ; "e122302" ; "20 décembre 2012 à 0h48" ; "Trois larmes" ; "446"
"cendre" ; "e122311" ; "20 décembre 2012 à 12h22" ; "Il me manque" ; "1947"
"cendre" ; "e122361" ; "21 décembre 2012 à 10h02" ; "Nouveau matin" ; "957"
"cendre" ; "e122454" ; "24 décembre 2012 à 11h01" ; "Le sens de la vie" ; "4862"
"cendre" ; "e122528" ; "26 décembre 2012 à 15h08" ; "Pas envie de bosser" ; "3703"
"cendre" ; "e122588" ; "28 décembre 2012 à 1h23" ; "Après midi réflexion" ; "3350"
"cendre" ; "e122590" ; "28 décembre 2012 à 1h54" ; "Journal intime" ; "2485"
"cendre" ; "e122707" ; "31 décembre 2012 à 0h58" ; "L'essentiel" ; "5910"
"cendre" ; "e122899" ; "2 janvier 2013 à 12h40" ; "Vanité" ; "4108"
"cendre" ; "e122937" ; "2 janvier 2013 à 22h38" ; "Preuve d'amour ?" ; "1556"
"cendre" ; "e122988" ; "4 janvier 2013 à 3h22" ; "A quoi ça rime ?" ; "2483"
"manuscrits2caille" ; "e123010" ; "20 janvier 2012 à 22h47" ; "2012" ; "1212"
"manuscrits2caille" ; "e123011" ; "10 février 2012 à 21h54" ; "Chonchonitude" ; "1168"
"manuscrits2caille" ; "e123012" ; "9 mai 2012 à 22h02" ; "Fariboles de mariage" ; "967"
"manuscrits2caille" ; "e123013" ; "25 août 2012 à 3h31" ; "Il se passe un truc" ; "5137"
"manuscrits2caille" ; "e123014" ; "26 août 2012 à 23h32" ; "Je pense à toi" ; "2124"
"manuscrits2caille" ; "e123015" ; "27 août 2012 à 22h43" ; "Frustrée" ; "597"
"manuscrits2caille" ; "e123016" ; "28 août 2012 à 22h53" ; "Se donner rendez vous" ; "988"
"manuscrits2caille" ; "e123017" ; "29 août 2012 à 22h55" ; "Lapin" ; "1851"
"manuscrits2caille" ; "e123022" ; "20 février 2012 à 18h23" ; "Je m'éparpille" ; "1770"
"manuscrits2caille" ; "e123023" ; "28 juin 2012 à 9h30" ; "La vie de tous les jours" ; "1074"
"manuscrits2caille" ; "e123027" ; "30 août 2012 à 22h37" ; "Je fulmine" ; "410"
"manuscrits2caille" ; "e123028" ; "30 août 2012 à 20h39" ; "Quel beau barrage" ; "96"
"manuscrits2caille" ; "e123029" ; "1 septembre 2012 à 0h56" ; "Il est pas là le vendredi soir" ; "905"
"manuscrits2caille" ; "e123032" ; "2 septembre 2012 à 22h12" ; "Fin de parenthèse" ; "810"
"manuscrits2caille" ; "e123034" ; "3 septembre 2012 à 22h16" ; "Le lion ronronne" ; "531"
"manuscrits2caille" ; "e123035" ; "4 septembre 2012 à 22h18" ; "Asynchrone" ; "198"
"manuscrits2caille" ; "e123036" ; "5 septembre 2012 à 22h20" ; "Humeur changeante" ; "370"
"manuscrits2caille" ; "e123037" ; "7 septembre 2012 à 20h22" ; "Retour de tête à tête" ; "710"
"manuscrits2caille" ; "e123038" ; "8 septembre 2012 à 23h23" ; "Premier manque" ; "697"
"manuscrits2caille" ; "e123039" ; "9 septembre 2012 à 23h25" ; "Ma dose" ; "266"
"manuscrits2caille" ; "e123040" ; "9 septembre 2012 à 21h22" ; "Lettre à mon amour" ; "2090"
"manuscrits2caille" ; "e123041" ; "10 septembre 2012 à 22h50" ; "Bonne humeur" ; "492"
"manuscrits2caille" ; "e123042" ; "12 septembre 2012 à 8h35" ; "Je vous aime" ; "422"
"manuscrits2caille" ; "e123044" ; "14 septembre 2012 à 19h17" ; "Rémi, mon amour" ; "512"
"manuscrits2caille" ; "e123045" ; "16 septembre 2012 à 7h02" ; "Rêve" ; "2900"
"manuscrits2caille" ; "e123046" ; "16 septembre 2012 à 19h10" ; "C'est quoi un amant ?" ; "559"
"manuscrits2caille" ; "e123047" ; "17 septembre 2012 à 22h54" ; "Effets collateraux bénéfiques" ; "233"
"manuscrits2caille" ; "e123052" ; "19 septembre 2012 à 22h50" ; "Je joue à faire semblant" ; "222"
"manuscrits2caille" ; "e123053" ; "20 septembre 2012 à 21h51" ; "Petite escapade impromptue" ; "372"
"manuscrits2caille" ; "e123054" ; "23 septembre 2012 à 11h00" ; "Dimanche" ; "505"
"manuscrits2caille" ; "e123055" ; "26 septembre 2012 à 22h03" ; "Mes amours" ; "666"
"manuscrits2caille" ; "e123056" ; "27 septembre 2012 à 20h04" ; "Retour d'un double rendez-vous (5-6)" ; "461"
"manuscrits2caille" ; "e123057" ; "28 septembre 2012 à 12h07" ; "Abscence" ; "1368"
"manuscrits2caille" ; "e123058" ; "29 septembre 2012 à 23h56" ; "Lettre avant de partir" ; "2494"
"manuscrits2caille" ; "e123060" ; "14 octobre 2012 à 9h13" ; "Lettre au retour en metro" ; "1986"
"manuscrits2caille" ; "e123061" ; "14 octobre 2012 à 18h14" ; "Attente" ; "411"
"manuscrits2caille" ; "e123062" ; "26 octobre 2012 à 20h16" ; "Caractère indélébile" ; "401"
"manuscrits2caille" ; "e123064" ; "27 octobre 2012 à 11h34" ; "Caractère indélébile (suite)" ; "4295"
"manuscrits2caille" ; "e123065" ; "2 novembre 2012 à 21h53" ; "«Tu vas rentrer et retrouver Rémi »" ; "311"
"manuscrits2caille" ; "e123066" ; "14 septembre 2012 à 8h40" ; "J'ai cédé (deuxième rendez-vous)" ; "2341"
"manuscrits2caille" ; "e123068" ; "14 septembre 2012 à 16h10" ; "Je suis amoureuse" ; "733"
"manuscrits2caille" ; "e123069" ; "14 septembre 2012 à 18h20" ; "Je t'ai trompé" ; "1466"
"manuscrits2caille" ; "e123070" ; "17 septembre 2012 à 9h00" ; "La force de l'Amour" ; "1098"
"manuscrits2caille" ; "e123071" ; "17 septembre 2012 à 19h03" ; "Pallier dans le désir" ; "1146"
"manuscrits2caille" ; "e123072" ; "18 septembre 2012 à 21h30" ; "Sortir de la frustration ? (3)" ; "1186"
"manuscrits2caille" ; "e123073" ; "20 septembre 2012 à 18h00" ; "Apprivoiser son désir (4)" ; "3527"
"manuscrits2caille" ; "e123074" ; "21 septembre 2012 à 9h00" ; "Sources de bonheur" ; "459"
"manuscrits2caille" ; "e123075" ; "21 septembre 2012 à 19h00" ; "Cours du vendredi" ; "574"
"manuscrits2caille" ; "e123077" ; "25 septembre 2012 à 8h45" ; "Régime miracle" ; "1080"
"manuscrits2caille" ; "e123078" ; "25 septembre 2012 à 21h55" ; "Avouer mes émois" ; "3066"
"manuscrits2caille" ; "e123080" ; "1 octobre 2012 à 16h00" ; "Changement d'hémisphère" ; "1300"
"manuscrits2caille" ; "e123088" ; "7 septembre 2012 à 20h13" ; "Premier tête à tête" ; "4729"
"manuscrits2caille" ; "e123089" ; "11 septembre 2012 à 19h40" ; "Explosion euphorique (RER E)" ; "1746"
"cendre" ; "e123094" ; "5 janvier 2013 à 15h04" ; "Feuilles volantes" ; "1482"
"manuscrits2caille" ; "e123108" ; "2 octobre 2012 à 17h43" ; "Au revoir Salazie" ; "728"
"manuscrits2caille" ; "e123111" ; "9 octobre 2012 à 6h20" ; "Trahison ?" ; "2833"
"manuscrits2caille" ; "e123119" ; "10 octobre 2012 à 7h00" ; "Au revoir Cilaos" ; "413"
"manuscrits2caille" ; "e123121" ; "16 octobre 2012 à 8h40" ; "Les bonheurs de la reprise (7)" ; "2031"
"manuscrits2caille" ; "e123138" ; "18 octobre 2012 à 15h15" ; "Un banc ensoleillé sur la promenade planté (8)" ; "1155"
"manuscrits2caille" ; "e123139" ; "19 octobre 2012 à 9h45" ; "Découverte du polyamour" ; "832"
"manuscrits2caille" ; "e123140" ; "21 octobre 2012 à 10h15" ; "Le cahier Bleu" ; "2316"
"manuscrits2caille" ; "e123141" ; "22 octobre 2012 à 13h25" ; "Notre banc" ; "186"
"manuscrits2caille" ; "e123142" ; "23 octobre 2012 à 8h40" ; "Les hommes ont l'amour charnel (pré - 9)" ; "1600"
"manuscrits2caille" ; "e123143" ; "25 octobre 2012 à 14h10" ; "Après midi au jardin des Tuileries (10)" ; "774"
"cendre" ; "e123145" ; "6 janvier 2013 à 13h33" ; "Plaisirs par procuration" ; "1279"
"manuscrits2caille" ; "e123180" ; "26 octobre 2012 à 18h48" ; "Quatre heures" ; "659"
"manuscrits2caille" ; "e123181" ; "29 octobre 2012 à 18h30" ; "Susceptible" ; "2344"
"manuscrits2caille" ; "e123182" ; "30 octobre 2012 à 15h57" ; "Nation (11)" ; "885"
"manuscrits2caille" ; "e123183" ; "2 novembre 2012 à 20h30" ; "Dérivation (12)" ; "2241"
"manuscrits2caille" ; "e123184" ; "7 janvier 2013 à 2h17" ; "Journal secret" ; "1339"
"cendre" ; "e123200" ; "7 janvier 2013 à 13h42" ; "Déraison" ; "1444"
"cendre" ; "e123257" ; "8 janvier 2013 à 16h43" ; "Pas même 3 heures (24)" ; "2855"
"manuscrits2caille" ; "e123270" ; "8 janvier 2013 à 21h01" ; "Sur un petit nuage (24)" ; "4317"
"cendre" ; "e123278" ; "9 janvier 2013 à 0h43" ; "Je tourne en rond" ; "701"
"manuscrits2caille" ; "e123279" ; "5 novembre 2012 à 18h20" ; "Rumination" ; "3500"
"manuscrits2caille" ; "e123280" ; "12 novembre 2012 à 18h40" ; "Une prière" ; "1942"
"cendre" ; "e123290" ; "9 janvier 2013 à 11h49" ; "« Oublie jamais combien je t'aime »" ; "282"
"cendre" ; "e123312" ; "9 janvier 2013 à 18h27" ; "Merci K." ; "1928"
"cendre" ; "e123359" ; "10 janvier 2013 à 15h18" ; "Compensasions" ; "4333"
"cendre" ; "e123426" ; "11 janvier 2013 à 21h02" ; "Ma nature polyamoureuse" ; "1109"
"manuscrits2caille" ; "e123435" ; "14 novembre 2012 à 1h50" ; "Confrontation (14)" ; "2437"
"manuscrits2caille" ; "e123436" ; "14 novembre 2012 à 8h59" ; "Effrontément heureuse ?" ; "1297"
"manuscrits2caille" ; "e123438" ; "29 novembre 2012 à 18h40" ; "Il l'aime plus que moi" ; "2114"
"manuscrits2caille" ; "e123439" ; "27 novembre 2012 à 21h34" ; "Digestion (19)" ; "2481"
"manuscrits2caille" ; "e123470" ; "3 décembre 2012 à 18h30" ; "A Teddy" ; "2604"
"cendre" ; "e123490" ; "13 janvier 2013 à 1h19" ; "Jolie journée" ; "3043"
"cendre" ; "e123670" ; "15 janvier 2013 à 18h07" ; "Encore à Lyon" ; "2363"
"cendre" ; "e123872" ; "18 janvier 2013 à 23h05" ; "Fatiguée (25)" ; "1472"
"cendre" ; "e123987" ; "21 janvier 2013 à 13h02" ; "Je t'aime" ; "2207"
"cendre" ; "e124034" ; "22 janvier 2013 à 19h58" ; "Rendez vous manqué" ; "2786"
"cendre" ; "e124106" ; "23 janvier 2013 à 21h57" ; "Essentiels à mon bonheur" ; "1914"
"manuscrits2caille" ; "e124111" ; "24 janvier 2013 à 0h39" ; "Injuste" ; "2871"
